totalDelay,totalNumberOfHops,totalUsedCPU,totalRootedUnusedVnfCapacity
22584,205,96,314
22590,206,96,313
22596,207,96,312
22619,203,96,316
22622,204,96,309
22654,201,96,318
22656,207,96,307
22657,202,96,309
22660,203,96,302
22666,204,96,299
22692,200,96,313
22695,201,96,308
22698,201,96,307
22707,203,92,292
22713,204,92,289
22730,199,96,315
22779,205,92,284
22780,201,96,305
22781,198,96,324
22784,199,96,313
22795,203,88,292
22802,203,80,226
22811,202,88,263
22812,198,96,318
22844,202,80,221
22866,198,96,316
22893,201,80,233
22907,197,96,320
22913,201,80,225
22916,204,80,220
22918,204,80,220
22923,198,96,315
22928,200,92,288
22938,197,88,293
22943,206,80,220
22944,200,80,233
22951,200,80,226
22958,196,96,323
22963,200,80,226
22969,199,84,264
22975,205,80,219
22989,196,88,294
22995,200,80,224
23009,205,80,216
23012,207,80,215
23014,199,88,252
23027,198,80,227
23033,199,80,225
23040,195,88,294
23050,206,80,216
23052,199,80,225
23056,207,80,215
23069,208,80,214
23069,209,80,212
23078,204,80,220
23107,207,80,214
23111,204,80,215
23130,202,80,221
23135,197,88,293
23138,208,80,213
23145,200,80,223
23151,201,80,222
23161,201,80,222
23219,206,80,213
23229,201,80,220
23267,200,80,222
23274,202,80,220
23305,210,80,211
23308,207,80,213
23477,208,80,212
23482,203,80,216
23606,216,80,210
23661,213,80,211
23678,218,80,209
23706,218,80,206
23721,217,80,208
23886,215,80,210
