?SNDlib native format; type: network; version: 1.0
# network geant

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 4month
  time  = 2005
  unit  = MBITPERSEC
  origin  = Steve Uhlig, http://totem.info.ucl.ac.be/dataset.html, scaled directed peak matrix, period:4 month, total demand 3Tbps
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  at1.at ( 16.3729 48.2091 )
  be1.be ( 4.3518 50.8469 )
  ch1.ch ( 6.1399 46.2038 )
  cz1.cz ( 14.4423 50.0785 )
  de1.de ( 8.6842 50.1122 )
  es1.es ( -3.7033 40.4167 )
  fr1.fr ( 2.351 48.8566 )
  gr1.gr ( 23.5808 37.9778 )
  hr1.hr ( 15.9644 45.8071 )
  hu1.hu ( 19.0936 47.4976 )
  ie1.ie ( -6.2573 53.3416 )
  il1.il ( 34.8097 32.0714 )
  it1.it ( 9.19 45.4642 )
  lu1.lu ( 6.1296 49.6112 )
  nl1.nl ( 4.9407 52.3236 )
  ny1.ny ( -73.94384 40.6698 )
  pl1.pl ( 16.8874 52.3963 )
  pt1.pt ( -9.1363 38.7073 )
  se1.se ( 17.8742 59.3617 )
  si1.si ( 14.5148 46.0574 )
  sk1.sk ( 17.1297 48.1531 )
  uk1.uk ( -0.1264 51.5086 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  at1.at_ch1.ch ( at1.at ch1.ch ) 0.00 0.00 0.00 0.00 ( 40000.00 804.00 )
  at1.at_de1.de ( at1.at de1.de ) 0.00 0.00 0.00 0.00 ( 40000.00 598.00 )
  at1.at_hu1.hu ( at1.at hu1.hu ) 0.00 0.00 0.00 0.00 ( 40000.00 218.00 )
  at1.at_ny1.ny ( at1.at ny1.ny ) 0.00 0.00 0.00 0.00 ( 40000.00 6802.00 )
  at1.at_si1.si ( at1.at si1.si ) 0.00 0.00 0.00 0.00 ( 40000.00 277.00 )
  be1.be_fr1.fr ( be1.be fr1.fr ) 0.00 0.00 0.00 0.00 ( 40000.00 264.00 )
  be1.be_lu1.lu ( be1.be lu1.lu ) 0.00 0.00 0.00 0.00 ( 40000.00 186.00 )
  be1.be_nl1.nl ( be1.be nl1.nl ) 0.00 0.00 0.00 0.00 ( 40000.00 169.00 )
  ch1.ch_fr1.fr ( ch1.ch fr1.fr ) 0.00 0.00 0.00 0.00 ( 40000.00 410.00 )
  ch1.ch_it1.it ( ch1.ch it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 250.00 )
  cz1.cz_de1.de ( cz1.cz de1.de ) 0.00 0.00 0.00 0.00 ( 40000.00 411.00 )
  cz1.cz_pl1.pl ( cz1.cz pl1.pl ) 0.00 0.00 0.00 0.00 ( 40000.00 309.00 )
  cz1.cz_sk1.sk ( cz1.cz sk1.sk ) 0.00 0.00 0.00 0.00 ( 40000.00 290.00 )
  de1.de_fr1.fr ( de1.de fr1.fr ) 0.00 0.00 0.00 0.00 ( 40000.00 478.00 )
  de1.de_gr1.gr ( de1.de gr1.gr ) 0.00 0.00 0.00 0.00 ( 40000.00 1794.00 )
  de1.de_ie1.ie ( de1.de ie1.ie ) 0.00 0.00 0.00 0.00 ( 40000.00 1088.00 )
  de1.de_it1.it ( de1.de it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 518.00 )
  de1.de_nl1.nl ( de1.de nl1.nl ) 0.00 0.00 0.00 0.00 ( 40000.00 358.00 )
  de1.de_se1.se ( de1.de se1.se ) 0.00 0.00 0.00 0.00 ( 40000.00 1184.00 )
  es1.es_fr1.fr ( es1.es fr1.fr ) 0.00 0.00 0.00 0.00 ( 40000.00 1054.00 )
  es1.es_it1.it ( es1.es it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 1189.00 )
  es1.es_pt1.pt ( es1.es pt1.pt ) 0.00 0.00 0.00 0.00 ( 40000.00 503.00 )
  fr1.fr_lu1.lu ( fr1.fr lu1.lu ) 0.00 0.00 0.00 0.00 ( 40000.00 287.00 )
  fr1.fr_uk1.uk ( fr1.fr uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 343.00 )
  gr1.gr_it1.it ( gr1.gr it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 1453.00 )
  hr1.hr_hu1.hu ( hr1.hr hu1.hu ) 0.00 0.00 0.00 0.00 ( 40000.00 304.00 )
  hr1.hr_si1.si ( hr1.hr si1.si ) 0.00 0.00 0.00 0.00 ( 40000.00 115.00 )
  hu1.hu_sk1.sk ( hu1.hu sk1.sk ) 0.00 0.00 0.00 0.00 ( 40000.00 163.00 )
  ie1.ie_uk1.uk ( ie1.ie uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 463.00 )
  il1.il_it1.it ( il1.il it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 2658.00 )
  il1.il_nl1.nl ( il1.il nl1.nl ) 0.00 0.00 0.00 0.00 ( 40000.00 3296.00 )
  nl1.nl_uk1.uk ( nl1.nl uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 359.00 )
  ny1.ny_uk1.uk ( ny1.ny uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 5575.00 )
  pl1.pl_se1.se ( pl1.pl se1.se ) 0.00 0.00 0.00 0.00 ( 40000.00 777.00 )
  pt1.pt_uk1.uk ( pt1.pt uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 1588.00 )
  se1.se_uk1.uk ( se1.se uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 1426.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  ny1.ny_il1.il ( ny1.ny il1.il ) 1 3003.00 UNLIMITED
  de1.de_ie1.ie ( de1.de ie1.ie ) 1 134.00 UNLIMITED
  cz1.cz_ny1.ny ( cz1.cz ny1.ny ) 1 13138.00 UNLIMITED
  hr1.hr_cz1.cz ( hr1.hr cz1.cz ) 1 135.00 UNLIMITED
  lu1.lu_cz1.cz ( lu1.lu cz1.cz ) 1 14.00 UNLIMITED
  de1.de_hr1.hr ( de1.de hr1.hr ) 1 4138.00 UNLIMITED
  si1.si_ie1.ie ( si1.si ie1.ie ) 1 38.00 UNLIMITED
  de1.de_il1.il ( de1.de il1.il ) 1 3211.00 UNLIMITED
  ny1.ny_nl1.nl ( ny1.ny nl1.nl ) 1 535.00 UNLIMITED
  ny1.ny_se1.se ( ny1.ny se1.se ) 1 5156.00 UNLIMITED
  de1.de_fr1.fr ( de1.de fr1.fr ) 1 1205.00 UNLIMITED
  be1.be_at1.at ( be1.be at1.at ) 1 46267.00 UNLIMITED
  at1.at_it1.it ( at1.at it1.it ) 1 2033.00 UNLIMITED
  si1.si_pl1.pl ( si1.si pl1.pl ) 1 269.00 UNLIMITED
  ch1.ch_cz1.cz ( ch1.ch cz1.cz ) 1 7069.00 UNLIMITED
  cz1.cz_es1.es ( cz1.cz es1.es ) 1 556.00 UNLIMITED
  si1.si_uk1.uk ( si1.si uk1.uk ) 1 1294.00 UNLIMITED
  it1.it_pt1.pt ( it1.it pt1.pt ) 1 1786.00 UNLIMITED
  nl1.nl_il1.il ( nl1.nl il1.il ) 1 578.00 UNLIMITED
  gr1.gr_it1.it ( gr1.gr it1.it ) 1 102.00 UNLIMITED
  it1.it_se1.se ( it1.it se1.se ) 1 8485.00 UNLIMITED
  it1.it_cz1.cz ( it1.it cz1.cz ) 1 160.00 UNLIMITED
  at1.at_nl1.nl ( at1.at nl1.nl ) 1 725.00 UNLIMITED
  pl1.pl_be1.be ( pl1.pl be1.be ) 1 710.00 UNLIMITED
  be1.be_uk1.uk ( be1.be uk1.uk ) 1 34415.00 UNLIMITED
  fr1.fr_ny1.ny ( fr1.fr ny1.ny ) 1 8677.00 UNLIMITED
  ny1.ny_hu1.hu ( ny1.ny hu1.hu ) 1 1753.00 UNLIMITED
  se1.se_il1.il ( se1.se il1.il ) 1 156.00 UNLIMITED
  lu1.lu_nl1.nl ( lu1.lu nl1.nl ) 1 35.00 UNLIMITED
  fr1.fr_gr1.gr ( fr1.fr gr1.gr ) 1 1179.00 UNLIMITED
  il1.il_uk1.uk ( il1.il uk1.uk ) 1 779.00 UNLIMITED
  ch1.ch_si1.si ( ch1.ch si1.si ) 1 2304.00 UNLIMITED
  es1.es_hr1.hr ( es1.es hr1.hr ) 1 822.00 UNLIMITED
  lu1.lu_it1.it ( lu1.lu it1.it ) 1 13.00 UNLIMITED
  de1.de_pl1.pl ( de1.de pl1.pl ) 1 4172.00 UNLIMITED
  de1.de_ny1.ny ( de1.de ny1.ny ) 1 3406.00 UNLIMITED
  pl1.pl_es1.es ( pl1.pl es1.es ) 1 653.00 UNLIMITED
  at1.at_gr1.gr ( at1.at gr1.gr ) 1 8167.00 UNLIMITED
  it1.it_fr1.fr ( it1.it fr1.fr ) 1 2343.00 UNLIMITED
  fr1.fr_il1.il ( fr1.fr il1.il ) 1 136.00 UNLIMITED
  es1.es_fr1.fr ( es1.es fr1.fr ) 1 856.00 UNLIMITED
  nl1.nl_sk1.sk ( nl1.nl sk1.sk ) 1 1067.00 UNLIMITED
  il1.il_nl1.nl ( il1.il nl1.nl ) 1 85.00 UNLIMITED
  lu1.lu_se1.se ( lu1.lu se1.se ) 1 538.00 UNLIMITED
  il1.il_hr1.hr ( il1.il hr1.hr ) 1 14.00 UNLIMITED
  lu1.lu_ie1.ie ( lu1.lu ie1.ie ) 1 35.00 UNLIMITED
  gr1.gr_lu1.lu ( gr1.gr lu1.lu ) 1 8.00 UNLIMITED
  be1.be_pl1.pl ( be1.be pl1.pl ) 1 10180.00 UNLIMITED
  hu1.hu_de1.de ( hu1.hu de1.de ) 1 13369.00 UNLIMITED
  pt1.pt_pl1.pl ( pt1.pt pl1.pl ) 1 42.00 UNLIMITED
  si1.si_lu1.lu ( si1.si lu1.lu ) 1 4.00 UNLIMITED
  il1.il_ie1.ie ( il1.il ie1.ie ) 1 9.00 UNLIMITED
  sk1.sk_pt1.pt ( sk1.sk pt1.pt ) 1 8500.00 UNLIMITED
  nl1.nl_ny1.ny ( nl1.nl ny1.ny ) 1 78.00 UNLIMITED
  be1.be_es1.es ( be1.be es1.es ) 1 7141.00 UNLIMITED
  hu1.hu_pt1.pt ( hu1.hu pt1.pt ) 1 70.00 UNLIMITED
  it1.it_at1.at ( it1.it at1.at ) 1 2748.00 UNLIMITED
  hu1.hu_si1.si ( hu1.hu si1.si ) 1 433.00 UNLIMITED
  lu1.lu_sk1.sk ( lu1.lu sk1.sk ) 1 6.00 UNLIMITED
  lu1.lu_ny1.ny ( lu1.lu ny1.ny ) 1 204.00 UNLIMITED
  pl1.pl_il1.il ( pl1.pl il1.il ) 1 65.00 UNLIMITED
  uk1.uk_es1.es ( uk1.uk es1.es ) 1 778.00 UNLIMITED
  es1.es_uk1.uk ( es1.es uk1.uk ) 1 4009.00 UNLIMITED
  ch1.ch_ny1.ny ( ch1.ch ny1.ny ) 1 26620.00 UNLIMITED
  il1.il_ny1.ny ( il1.il ny1.ny ) 1 194.00 UNLIMITED
  hr1.hr_il1.il ( hr1.hr il1.il ) 1 27.00 UNLIMITED
  ie1.ie_il1.il ( ie1.ie il1.il ) 1 60.00 UNLIMITED
  it1.it_be1.be ( it1.it be1.be ) 1 943.00 UNLIMITED
